order_id,customer_id,order_date,total_amount
1,43,2023-01-01 00:00:00,189.82
2,23,2023-01-02 00:00:00,1502.44
3,89,2023-01-03 00:00:00,922.41
4,16,2023-01-04 00:00:00,1596.18
5,83,2023-01-05 00:00:00,746.89
6,43,2023-01-06 00:00:00,745.43
7,83,2023-01-07 00:00:00,259.16
8,3,2023-01-08 00:00:00,1493.98
9,1,2023-01-09 00:00:00,1261.1
10,3,2023-01-10 00:00:00,383.74
11,48,2023-01-11 00:00:00,541.17
12,58,2023-01-12 00:00:00,535.69
13,61,2023-01-13 00:00:00,1344.33
14,15,2023-01-14 00:00:00,1363.97
15,43,2023-01-15 00:00:00,1116.91
16,37,2023-01-16 00:00:00,1316.84
17,23,2023-01-17 00:00:00,753.48
18,86,2023-01-18 00:00:00,1247.62
19,41,2023-01-19 00:00:00,1140.63
20,3,2023-01-20 00:00:00,1570.77
21,23,2023-01-21 00:00:00,1053.43
22,64,2023-01-22 00:00:00,375.93
23,19,2023-01-23 00:00:00,1588.75
24,79,2023-01-24 00:00:00,1656.57
25,65,2023-01-25 00:00:00,742.28
26,98,2023-01-26 00:00:00,25.44
27,50,2023-01-27 00:00:00,1585.99
28,70,2023-01-28 00:00:00,879.49
29,91,2023-01-29 00:00:00,1831.17
30,45,2023-01-30 00:00:00,1420.97
31,77,2023-01-31 00:00:00,652.36
32,48,2023-02-01 00:00:00,1809.09
33,82,2023-02-02 00:00:00,680.17
34,63,2023-02-03 00:00:00,1904.83
35,66,2023-02-04 00:00:00,225.25
36,59,2023-02-05 00:00:00,1618.18
37,71,2023-02-06 00:00:00,1207.59
38,41,2023-02-07 00:00:00,1095.9
39,86,2023-02-08 00:00:00,687.45
40,77,2023-02-09 00:00:00,1793.96
41,65,2023-02-10 00:00:00,1012.3
42,4,2023-02-11 00:00:00,555.1
43,86,2023-02-12 00:00:00,1489.5
44,18,2023-02-13 00:00:00,1202.61
45,63,2023-02-14 00:00:00,129.9
46,92,2023-02-15 00:00:00,1483.48
47,3,2023-02-16 00:00:00,1101.98
48,23,2023-02-17 00:00:00,1158.26
49,49,2023-02-18 00:00:00,1625.14
50,47,2023-02-19 00:00:00,325.44
51,97,2023-02-20 00:00:00,905.84
52,16,2023-02-21 00:00:00,336.05
53,73,2023-02-22 00:00:00,1989.1
54,12,2023-02-23 00:00:00,1905.2
55,43,2023-02-24 00:00:00,999.07
56,7,2023-02-25 00:00:00,1220.97
57,29,2023-02-26 00:00:00,733.58
58,63,2023-02-27 00:00:00,1168.56
59,68,2023-02-28 00:00:00,1604.87
60,5,2023-03-01 00:00:00,764.29
61,18,2023-03-02 00:00:00,1594.54
62,62,2023-03-03 00:00:00,154.14
63,38,2023-03-04 00:00:00,826.49
64,93,2023-03-05 00:00:00,571.65
65,27,2023-03-06 00:00:00,554.99
66,29,2023-03-07 00:00:00,1817.14
67,85,2023-03-08 00:00:00,1661.65
68,21,2023-03-09 00:00:00,464.8
69,8,2023-03-10 00:00:00,1223.42
70,52,2023-03-11 00:00:00,1390.81
71,87,2023-03-12 00:00:00,1316.08
72,47,2023-03-13 00:00:00,447.21
73,69,2023-03-14 00:00:00,75
74,20,2023-03-15 00:00:00,1435.22
75,73,2023-03-16 00:00:00,1601.56
76,16,2023-03-17 00:00:00,377.25
77,75,2023-03-18 00:00:00,387.8
78,7,2023-03-19 00:00:00,297.26
79,67,2023-03-20 00:00:00,1928.64
80,65,2023-03-21 00:00:00,33.16
81,90,2023-03-22 00:00:00,578.98
82,96,2023-03-23 00:00:00,1057.13
83,61,2023-03-24 00:00:00,885.3
84,11,2023-03-25 00:00:00,1050.28
85,24,2023-03-26 00:00:00,88.22
86,62,2023-03-27 00:00:00,719.6
87,86,2023-03-28 00:00:00,1744.63
88,48,2023-03-29 00:00:00,1453.53
89,57,2023-03-30 00:00:00,810.52
90,91,2023-03-31 00:00:00,1539.19
91,37,2023-04-01 00:00:00,451.06
92,16,2023-04-02 00:00:00,1356.87
93,67,2023-04-03 00:00:00,1629.28
94,55,2023-04-04 00:00:00,1933.65
95,92,2023-04-05 00:00:00,676.07
96,3,2023-04-06 00:00:00,1858.17
97,31,2023-04-07 00:00:00,211.15
98,69,2023-04-08 00:00:00,849.71
99,59,2023-04-09 00:00:00,921.08
100,84,2023-04-10 00:00:00,1786.26
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
